"No.","Time","Source","Destination","Protocol","Length","Info"
"48","6.125071","host","1.2.2","USB","73","URB_BULK out"
"60","7.165502","1.2.2","host","USB","91","URB_BULK in"
"62","7.166311","host","1.2.2","USB","72","URB_BULK out"
"74","8.208279","1.2.2","host","USB","96","URB_BULK in"
"76","8.241734","1.2.2","host","USB","96","URB_BULK in"
"78","8.258270","1.2.2","host","USB","78","URB_BULK in"
"80","8.259057","host","1.2.2","USB","96","URB_BULK out"
"81","8.259082","host","1.2.2","USB","65","URB_BULK out"
"84","9.328335","1.2.2","host","USB","95","URB_BULK in"
"98","10.383655","1.2.2","host","USB","95","URB_BULK in"
"100","10.385613","host","1.2.2","USB","77","URB_BULK out"
"102","11.434208","1.2.2","host","USB","96","URB_BULK in"
"104","11.465957","1.2.2","host","USB","93","URB_BULK in"
"106","11.466864","host","1.2.2","USB","72","URB_BULK out"
"118","12.509708","1.2.2","host","USB","96","URB_BULK in"
"120","12.541671","1.2.2","host","USB","93","URB_BULK in"
"122","12.542636","host","1.2.2","USB","76","URB_BULK out"
"124","13.588708","1.2.2","host","USB","96","URB_BULK in"
"126","13.621961","1.2.2","host","USB","96","URB_BULK in"
"128","13.627170","1.2.2","host","USB","67","URB_BULK in"
"130","13.627725","host","1.2.2","USB","77","URB_BULK out"
"142","14.676357","1.2.2","host","USB","96","URB_BULK in"
"144","14.709634","1.2.2","host","USB","96","URB_BULK in"
"146","14.726011","1.2.2","host","USB","78","URB_BULK in"
"148","14.726252","host","1.2.2","USB","87","URB_BULK out"
"150","15.785806","1.2.2","host","USB","95","URB_BULK in"
"152","15.786784","host","1.2.2","USB","77","URB_BULK out"
"164","16.834170","1.2.2","host","USB","96","URB_BULK in"
"166","16.866433","1.2.2","host","USB","93","URB_BULK in"
"168","16.867570","host","1.2.2","USB","84","URB_BULK out"
"170","17.923995","1.2.2","host","USB","94","URB_BULK in"
"182","19.427030","host","1.2.2","USB","72","URB_BULK out"
"184","20.454772","1.2.2","host","USB","79","URB_BULK in"
"186","20.455458","host","1.2.2","USB","81","URB_BULK out"
"198","21.507899","1.2.2","host","USB","96","URB_BULK in"
"200","21.541190","1.2.2","host","USB","96","URB_BULK in"
"202","21.557831","1.2.2","host","USB","78","URB_BULK in"
"216","22.613538","1.2.2","host","USB","95","URB_BULK in"
"218","22.614684","host","1.2.2","USB","84","URB_BULK out"
"220","23.671022","1.2.2","host","USB","96","URB_BULK in"
"222","23.704440","1.2.2","host","USB","96","URB_BULK in"
"224","23.720735","1.2.2","host","USB","78","URB_BULK in"
"226","23.721883","host","1.2.2","USB","92","URB_BULK out"
"238","24.775607","1.2.2","host","USB","84","URB_BULK in"
"240","24.776710","host","1.2.2","USB","76","URB_BULK out"
"242","25.823212","1.2.2","host","USB","94","URB_BULK in"
"254","27.325394","host","1.2.2","USB","80","URB_BULK out"
"256","28.376976","1.2.2","host","USB","96","URB_BULK in"
"258","28.408995","1.2.2","host","USB","93","URB_BULK in"
"260","28.409854","host","1.2.2","USB","75","URB_BULK out"
"272","29.454439","1.2.2","host","USB","96","URB_BULK in"
"274","29.487765","1.2.2","host","USB","96","URB_BULK in"
"276","29.492637","1.2.2","host","USB","67","URB_BULK in"
"278","29.493177","host","1.2.2","USB","80","URB_BULK out"
"280","30.544791","1.2.2","host","USB","94","URB_BULK in"
"292","32.047238","host","1.2.2","USB","96","URB_BULK out"
"293","32.047273","host","1.2.2","USB","96","URB_BULK out"
"295","32.047372","host","1.2.2","USB","81","URB_BULK out"
"308","33.165168","1.2.2","host","USB","95","URB_BULK in"
"310","33.166631","host","1.2.2","USB","96","URB_BULK out"
"311","33.166666","host","1.2.2","USB","65","URB_BULK out"
"314","34.234752","1.2.2","host","USB","94","URB_BULK in"
"326","35.737582","host","1.2.2","USB","68","URB_BULK out"
