"No.","Time","Source","Destination","Protocol","Length","Info"
"328","36.775605","1.2.2","host","USB","94","URB_BULK in"
"340","38.278555","host","1.2.2","USB","78","URB_BULK out"
"352","39.327705","1.2.2","host","USB","96","URB_BULK in"
"354","39.359774","1.2.2","host","USB","93","URB_BULK in"
"356","39.360710","host","1.2.2","USB","87","URB_BULK out"
"358","40.419161","1.2.2","host","USB","95","URB_BULK in"
"360","40.420248","host","1.2.2","USB","70","URB_BULK out"
"372","41.460124","1.2.2","host","USB","94","URB_BULK in"
"374","42.962167","host","1.2.2","USB","96","URB_BULK out"
"375","42.962203","host","1.2.2","USB","65","URB_BULK out"
"388","44.022225","1.2.2","host","USB","84","URB_BULK in"
"390","44.023038","host","1.2.2","USB","87","URB_BULK out"
"402","45.083051","1.2.2","host","USB","95","URB_BULK in"
"404","45.084211","host","1.2.2","USB","67","URB_BULK out"
"406","46.121302","1.2.2","host","USB","94","URB_BULK in"
"418","47.624281","host","1.2.2","USB","78","URB_BULK out"
"420","48.673706","1.2.2","host","USB","96","URB_BULK in"
"422","48.706951","1.2.2","host","USB","96","URB_BULK in"
"424","48.723405","1.2.2","host","USB","78","URB_BULK in"
"438","49.779063","1.2.2","host","USB","95","URB_BULK in"
"440","49.780672","host","1.2.2","USB","80","URB_BULK out"
"442","50.820716","1.2.2","host","USB","84","URB_BULK in"
"444","50.821674","host","1.2.2","USB","68","URB_BULK out"
"456","51.858962","1.2.2","host","USB","96","URB_BULK in"
"458","51.883582","1.2.2","host","USB","86","URB_BULK in"
"460","51.884537","host","1.2.2","USB","66","URB_BULK out"
"462","52.895034","1.2.2","host","USB","70","URB_BULK in"
"484","55.899515","host","1.2.2","USB","79","URB_BULK out"
"486","56.939937","1.2.2","host","USB","84","URB_BULK in"
"488","56.940279","host","1.2.2","USB","77","URB_BULK out"
"500","57.987557","1.2.2","host","USB","96","URB_BULK in"
"502","58.019167","1.2.2","host","USB","93","URB_BULK in"
"504","58.019618","host","1.2.2","USB","80","URB_BULK out"
"506","59.069814","1.2.2","host","USB","94","URB_BULK in"
"518","60.572354","host","1.2.2","USB","73","URB_BULK out"
"530","61.603930","1.2.2","host","USB","83","URB_BULK in"
